10134f,10,13,55,spring
20678,2,6,78,spring
3a21c4,40,21,124,spring
393ee3,39,44,143,spring
8c7ade,92,80,144,spring
2f8f7d,35,95,83,spring
3b87a3,41,87,103,spring
4dbd9d,53,123,103,spring
cfeeff,135,154,165,spring
f2fffe,152,165,164,spring
c7022d,127,2,33,spring
cf0246,135,2,46,spring
cf2759,135,27,59,spring
c7268f,127,26,95,spring
cf3057,135,30,57,spring
f0329e,150,32,104,spring
f55f7b,155,65,81,spring
eb869a,151,86,100,spring
f0a292,150,102,92,spring
e6acb3,146,112,113,spring
2ebd15,34,123,15,spring
65db16,65,141,16,spring
afbf54,115,125,54,spring
9cad57,102,113,57,spring
b0a541,110,105,41,spring
e3be4f,143,124,55,spring
decc66,144,132,66,spring
c29e44,122,104,44,spring
ba9873,120,98,73,spring
c48e47,124,94,47,spring
efffad,155,165,113,spring
f4f5e4,154,155,144,spring
faff91,160,165,91,spring
f0ffad,150,165,113,spring
fce93a,162,149,40,spring
f76205,157,62,5,spring
fc9621,162,96,21,spring
521515,52,15,15,spring
b8939c,118,93,102,spring
965730,96,57,30,spring
7e5394,84,53,94,spring
51468f,51,46,95,spring
6fc8d6,75,128,136,spring
1eabc7,24,111,127,spring
047a85,4,80,85,spring
219e9e,21,104,104,spring
26874a,26,87,50,spring
369c5d,36,102,63,spring
6cb865,72,118,65,spring
bdd9b0,123,139,110,spring
fcd226,162,132,26,spring
fad28e,160,132,94,spring
e37b5b,143,81,61,spring
edbdbb,153,123,121,spring
eb7a8f,151,80,95,spring
de4754,144,47,54,spring
d42626,134,26,26,spring
cf2317,135,23,17,spring
b82828,118,28,28,spring
cc2823,132,28,23,spring
5c78ad,62,78,113,spring
1c4285,22,42,85,spring
113652,11,36,52,spring
b2b3aa,112,113,110,spring
4a423c,50,42,42,spring
7d5d4c,83,63,52,spring
dbad5c,141,113,62,spring
ccae91,132,114,91,spring
e9ebdf,149,151,145,spring
eff0df,155,150,145,spring
ff9421,165,94,21,spring
e6775c,146,77,62,spring
cf2317,135,23,17,spring
cf0246,135,2,46,spring
6f4c8c,75,52,92,spring
1e4687,24,46,87,spring
4dbd99,53,123,99,spring
30c208,30,122,8,spring
c28d44,122,93,44,spring
6e593f,74,59,45,spring
694c34,69,52,34,spring
521414,52,14,14,spring
dbb05e,141,110,64,spring
0b8da1,11,93,101,spring
3921c2,39,21,122,spring
b0a546,110,105,46,spring
ba9773,120,97,73,spring
f57187,155,71,87,spring
70bd66,70,123,66,spring
528c4a,52,92,50,spring
cf024a,135,2,50,spring
b82318,118,23,18,spring
cc2718,132,27,18,spring
bd4606,123,46,6,spring
fc5c05,162,62,5,spring
e3bf20,143,125,20,spring
fcd421,162,134,21,spring
208f04,20,95,4,spring
50bf34,50,125,34,spring
30c208,30,122,8,spring
c77396,127,73,96,summer
965982,96,59,82,summer
82315e,82,31,64,summer
d199b2,131,99,112,summer
c773ab,127,73,111,summer
cc648e,132,64,94,summer
5e2b32,64,31,32,summer
a13251,101,32,51,summer
b02c3b,110,32,41,summer
bf3030,125,30,30,summer
4.43E+65,44,44,63,summer
64638a,64,63,90,summer
9a94b3,100,94,113,summer
4d9181,53,91,81,summer
158a61,15,90,61,summer
a3d4b6,103,134,116,summer
e0e8b0,140,148,110,summer
82d9cc,82,139,132,summer
647c91,64,82,91,summer
a9bccf,109,122,135,summer
4e7bad,54,81,113,summer
2a5ba1,30,61,101,summer
3d5778,43,57,78,summer
405b78,40,61,78,summer
193d4f,19,43,55,summer
546969,54,69,69,summer
949899,94,98,99,summer
856b55,85,71,55,summer
ded3ba,144,133,120,summer
ebe8dd,151,148,143,summer
0b1330,11,13,30,summer
252b5e,25,31,64,summer
284499,28,44,99,summer
403d9c,40,43,102,summer
5481b0,54,81,110,summer
766bb3,76,71,113,summer
94b0b5,94,110,115,summer
6fb38e,75,113,94,summer
62a181,62,101,81,summer
849999,84,99,99,summer
441c5c,44,22,62,summer
3d0531,43,5,31,summer
4a3048,50,30,48,summer
696256,69,62,56,summer
1d5c35,23,62,35,summer
379152,37,91,52,summer
296e3d,29,74,43,summer
b0b861,110,118,61,summer
8ab06d,90,110,73,summer
91ff42,91,165,42,summer
621880,62,18,80,summer
7a1260,80,12,60,summer
963c8c,96,42,92,summer
9b49ab,101,49,111,summer
8365b5,83,65,115,summer
b8b28c,118,112,92,summer
8a8569,90,85,69,summer
b3a4a9,113,104,109,summer
c9bbc1,129,121,121,summer
bae0db,120,140,141,summer
eeff8c,154,165,92,summer
d6e67c,136,146,82,summer
b2bf67,112,125,67,summer
fbfcf5,161,162,155,summer
8f4c2e,95,52,34,summer
8f786b,95,78,71,summer
8f0339,95,3,39,summer
ab095f,111,9,65,summer
b3608b,113,60,91,summer
d185d6,131,85,136,summer
f72a38,157,30,38,summer
de2632,144,26,32,summer
c92b28,129,31,28,summer
b52924,115,29,24,summer
ffff42,165,165,42,summer
ffffa8,165,165,108,summer
917d66,91,83,66,summer
6e5d4d,74,63,53,summer
00b9bf,0,119,125,summer
00ffff,0,165,165,summer
73415f,73,41,65,summer
995781,99,57,81,summer
451738,45,17,38,summer
450735,45,7,35,summer
3b2837,41,28,37,summer
4d454d,53,45,53,summer
4d364b,53,36,51,summer
12664a,12,66,50,summer
1c8a61,22,90,61,summer
5557,0,55,57,summer
998492,99,84,92,summer
9c9598,102,95,98,summer
b32b38,113,31,38,summer
b3848a,113,84,90,summer
b3848a,113,84,90,summer
b0a5a6,110,105,106,summer
ffffa8,165,165,108,summer
edff87,153,165,87,summer
d2e67c,132,146,82,summer
50592e,50,59,34,summer
9eb386,104,113,86,fall
259457,25,94,57,fall
284d3d,28,53,43,fall
4e8285,54,82,85,fall
1f7c8f,25,82,95,fall
159ca1,15,102,101,fall
736c1d,73,72,23,fall
544819,54,48,19,fall
0a2b0e,10,31,14,fall
00611f,0,61,25,fall
853c3c,85,42,42,fall
a31f23,103,25,23,fall
c72522,127,25,22,fall
2f233b,35,23,41,fall
5b75ab,61,75,111,fall
16566e,16,56,74,fall
25220,2,52,20,fall
003b17,0,41,17,fall
01261a,1,26,20,fall
3329,0,33,29,fall
662a29,66,30,29,fall
a33124,103,31,24,fall
e39471,143,94,71,fall
c72a1c,127,30,22,fall
cf7c00,135,82,0,fall
d49522,134,95,22,fall
520f30,52,15,30,fall
9.00E+27,9,14,26,fall
11624,1,16,24,fall
01151c,1,15,22,fall
4d4439,53,44,39,fall
7d6048,83,60,48,fall
a3845f,103,84,65,fall
9e8f6d,104,95,73,fall
d6d3c1,136,133,121,fall
dba34f,141,103,55,fall
5c0911,62,9,11,fall
a62d2d,106,33,33,fall
f21713,152,17,13,fall
f7421e,157,42,24,fall
2e2928,34,29,28,fall
636947,63,69,47,fall
6e6744,74,67,44,fall
404233,40,42,33,fall
1c3647,22,36,47,fall
696558,69,65,58,fall
4d281f,53,28,25,fall
471d17,47,23,17,fall
802b24,80,31,24,fall
9.91E+13,99,24,11,fall
111a2b,11,20,31,fall
2e2a30,34,30,30,fall
1e405e,24,40,64,fall
3d2a2c,43,30,32,fall
50359c,50,35,102,fall
318f79,31,95,79,fall
4f3825,55,38,25,fall
362920,36,29,20,fall
7d5c31,83,62,31,fall
cf5b21,135,61,21,fall
574336,57,43,36,fall
59805a,59,80,60,fall
52263c,52,26,42,fall
522a4c,52,30,52,fall
63223f,63,22,45,fall
b3245d,113,24,63,fall
ab8255,111,82,55,fall
f59936,155,99,36,fall
f79c34,157,102,34,fall
e6691c,146,69,22,fall
cf153d,135,15,43,fall
e3143a,143,14,40,fall
fc448e,162,44,94,fall
f27272,152,72,72,fall
525926,52,59,26,fall
4b942c,51,94,32,fall
ab8316,111,83,16,fall
646b2c,64,71,32,fall
292d45,29,33,45,fall
565975,56,59,75,fall
86ad21,86,113,21,fall
965802,96,58,2,fall
947223,94,72,23,fall
c79520,127,95,20,fall
946f40,94,75,40,fall
ebeb02,151,151,2,fall
2d1c30,33,22,30,fall
8.21E+27,82,24,25,fall
b53422,115,34,22,fall
941212,94,12,12,fall
fc5e03,162,64,3,fall
571c11,57,22,11,fall
a60a02,106,10,2,fall
db2c18,141,32,18,fall
a62312,106,23,12,fall
b8a46c,118,104,72,fall
8f3615,95,36,15,fall
d15c26,131,62,26,fall
bd7c37,123,82,37,fall
ccab29,132,111,29,fall
50808,5,8,8,winter
100f17,10,15,17,winter
283536,28,35,36,winter
3f5b5e,45,61,64,winter
11162e,11,16,34,winter
080c30,8,12,30,winter
030e8c,3,14,92,winter
042fcc,4,35,132,winter
4.95E+65,49,64,63,winter
9db0aa,103,110,110,winter
1e668a,24,66,90,winter
124194,12,41,94,winter
2.72E+40,27,34,38,winter
2b2f36,31,35,36,winter
2.81E+42,28,24,40,winter
0b0082,11,0,82,winter
2a0278,30,2,78,winter
2002c7,20,2,127,winter
4220a1,42,20,101,winter
4d09ba,53,9,120,winter
380726,38,7,26,winter
400642,40,6,42,winter
691d5f,69,23,65,winter
751a40,75,20,40,winter
a31d96,103,23,96,winter
c24ec2,122,54,122,winter
fa53fc,160,53,162,winter
fc0352,162,3,52,winter
fc032c,162,3,32,winter
f00222,150,2,22,winter
0e4733,14,47,33,winter
14611f,14,61,25,winter
25633d,25,63,43,winter
38ba38,38,120,38,winter
3ebd64,44,123,64,winter
29cf3a,29,135,40,winter
96031c,96,3,22,winter
800429,80,4,29,winter
8a073d,90,7,43,winter
c40441,124,4,41,winter
0c210d,12,21,13,winter
0e4525,14,45,25,winter
9.10E+25,9,24,24,winter
e5ff70,145,165,70,winter
e8ff94,148,165,94,winter
1c0b10,22,11,10,winter
fbe3ff,161,143,165,winter
c9f5f0,129,155,150,winter
d9ffde,139,165,144,winter
ffffff,165,165,165,winter
f5f2eb,155,152,151,winter
cfbea9,135,124,109,winter
ded9d3,144,139,133,winter
857d6b,85,83,71,winter
403f40,40,45,40,winter
1f1a13,25,20,13,winter
201e2e,20,24,34,winter
2f334f,35,33,55,winter
393b75,39,41,75,winter
2e4680,34,46,80,winter
348ec2,34,94,122,winter
2677a6,26,77,106,winter
1e6496,24,64,96,winter
e0d948,140,139,48,winter
259464,25,94,64,winter
2.96E+45,29,74,43,winter
284542,28,45,42,winter
bd262b,123,26,31,winter
9c1c25,102,22,25,winter
7d1921,83,19,21,winter
d1e8e3,131,148,143,winter
bdd8de,123,138,144,winter
eaebc0,150,151,120,winter
f5f0e9,155,150,149,winter
f2eee9,152,154,149,winter
cf4288,135,42,88,winter
c43167,124,31,67,winter
c4527a,124,52,80,winter
4b3673,51,36,73,winter
3c384a,42,38,50,winter
e8ff80,148,165,80,winter
ecff96,152,165,96,winter
aabf54,110,125,54,winter
f04158,150,41,58,winter
f01d35,150,23,35,winter
d6041d,136,4,23,winter
800429,80,4,29,winter
610322,61,3,22,winter
822343,82,23,43,winter
4220a1,42,20,101,winter
5e5e5e,64,64,64,winter
0,0,0,0,winter
8dba8f,93,120,95,winter
2a8c2c,30,92,32,winter
38ba38,38,120,38,winter
242a96,24,30,96,winter
20669,2,6,69,winter
030e8c,3,14,92,winter
6042a1,60,42,101,winter
361878,36,18,78,winter
